J25 Ninjas,J25 Explorers 1,J22 Fiery 3,J25 Elves 3,PT6.6619059S,16
JMP Vampires 3,J25 Inventive 1,J25 Ghastly 2,J25 Bookworms 1,PT10.5830272S,25
JMP Cats 1,JMP Unicorns,J22 Knights,J25 Stalwart 1,PT4.3633714S,20
J22 Holy 3,J25 Fun Guys 2,J25 Soaring 4,J22 Morbid 2,PT3.0936924S,12
JMP Witchcraft 1,JMP Well-Read 2,J22 Detective 4,J22 Teamwork 2,PT6.5378468S,20
J22 Wolves 3,J25 Prideful,J22 Multi-Headed 2,J22 Constellation 2,PT10.4032688S,22
J25 Grave Robbers 3,J25 Stalwart 4,JMP Dragons 2,J25 Fun Guys 2,PT3.7042787S,16
JMP Spooky 2,J22 Multi-Headed 2,J22 Gigantic 1,JMP Spooky 4,PT2.2820971S,15
JMP Well-Read 3,J22 Fiery 4,J22 Fiery 4,J25 Surprise 2,PT4.018594S,19
J22 Holy 1,J25 Landfall 1,JMP Above the Clouds 4,J22 Morbid 1,PT9.3735032S,22
J22 Treasure 1,J25 Zealots 1,J25 Zealots 3,J25 Angels 2,PT3.0847481S,18
JMP Smashing 1,JMP Spirits 2,J25 Bloody 1,JMP Tree Hugging 1,PT3.080995S,18
J25 Elves 3,JMP Under the Sea 2,J25 Drowned 2,J25 Bloody 4,PT2.9108206S,17
JMP Dragons 2,J25 Bookworms 2,JMP Angels 2,J25 Goblins 1,PT1M26.3320425S,37
JMP Minions 1,J22 Cats 2,J22 Inventive 3,J22 Primates,PT6.5270193S,21
JMP Cats 1,J25 Clerics 3,JMP Minotaurs 2,J25 Explorers 3,PT3.7538875S,22
J25 Beasts 2,JMP Smashing 3,JMP Predatory 2,J22 Think Again 3,PT1.9467803S,15
JMP Vampires 4,J22 Law 3,J22 Teamwork 1,J25 Inventive 3,PT9.2029374S,21
J22 Ferocious 1,J25 Bookworms 4,J25 Heroes 1,J22 Elves 4,PT26.7580537S,28
J22 Inventive 3,JMP Heavily Armored 3,JMP Rogues 1,J25 Ninjas,PT9.6980858S,17
J22 Insects 2,J25 Inventive 1,J25 Encounter 3,JMP Under the Sea 1,PT13.3351419S,22
